year,month,day,hour,DEWP,TEMP,PRES,Iws,Is,Ir,season,time_of_day,wind_NE,wind_NW,wind_SE,wind_cv,temp_dewp_gap,wind_pressure,precip_total,is_heating_season,cluster,air_quality,pm2.5
2012,11,23,12,-16,4.0,1026.0,12.52,0,0,3,1,0,1,0,0,20.0,12845.52,0,1,0,Good,30.0
2012,6,25,23,21,24.0,1008.0,43.81,0,0,2,3,0,0,1,0,3.0,44160.48,0,0,1,Moderate,73.0
2014,4,30,14,9,28.0,1008.0,8.04,0,0,1,2,0,0,1,0,19.0,8104.319999999999,0,0,1,Unhealthy_Sensitive,86.0
2011,10,22,8,11,11.0,1019.0,9.84,0,0,3,1,0,1,0,0,0.0,10026.96,0,0,0,Very_Unhealthy,239.0
2012,2,27,15,-10,6.0,1021.0,7.15,0,0,0,2,0,0,1,0,16.0,7300.150000000001,0,1,2,Very_Unhealthy,188.0
2011,2,2,14,-20,7.0,1019.0,39.78,0,0,0,2,0,1,0,0,27.0,40535.82,0,1,3,Moderate,38.0
2014,1,2,20,-8,0.0,1017.0,9.36,0,0,0,3,0,0,0,1,8.0,9519.12,0,1,2,Very_Unhealthy,239.0
2014,4,16,19,-6,19.0,1010.0,6.26,0,0,1,3,0,0,1,0,25.0,6322.599999999999,0,0,1,Unhealthy_Sensitive,96.0
2011,9,23,4,8,11.0,1017.0,5.81,0,0,3,0,0,1,0,0,3.0,5908.77,0,0,0,Unhealthy_Sensitive,114.0
2014,5,19,22,16,22.0,1003.0,0.89,0,0,1,3,0,0,0,1,6.0,892.67,0,0,4,Unhealthy,141.0
2011,6,21,21,16,30.0,1000.0,46.48,0,0,2,3,0,0,1,0,14.0,46480.0,0,0,1,Unhealthy,116.0
2010,10,19,23,6,9.0,1029.0,6.26,0,0,3,3,0,0,1,0,3.0,6441.54,0,0,1,Unhealthy_Sensitive,91.0
2012,2,10,19,-21,0.0,1027.0,27.72,0,0,0,3,0,0,1,0,21.0,28468.44,0,1,2,Good,34.0
2010,5,18,6,12,14.0,1005.0,16.09,0,0,1,0,0,1,0,0,2.0,16170.45,0,0,0,Good,13.0
2010,7,23,16,23,34.0,1007.0,20.57,0,0,2,2,0,0,1,0,11.0,20713.99,0,0,1,Unhealthy,132.0
2011,6,10,3,18,22.0,1000.0,0.89,0,0,2,0,0,0,0,1,4.0,890.0,0,0,4,Unhealthy_Sensitive,108.0
2012,9,2,16,18,23.0,1008.0,3.13,0,0,3,2,0,1,0,0,5.0,3155.04,0,0,0,Good,13.0
2013,6,9,20,15,18.0,1012.0,52.09,0,0,2,3,0,1,0,0,3.0,52715.08,0,0,3,Good,22.0
2014,1,21,20,-20,-1.0,1028.0,21.01,0,0,0,3,0,0,1,0,19.0,21598.28,0,1,2,Unhealthy_Sensitive,95.0
2010,10,15,21,5,12.0,1013.0,4.02,0,0,3,3,0,0,0,1,7.0,4072.26,0,0,4,Moderate,64.0
2014,11,28,4,-8,1.0,1021.0,10.28,0,0,3,0,0,1,0,0,9.0,10495.88,0,1,0,Moderate,52.0
2012,3,10,12,-18,7.0,1025.0,47.38,0,0,1,1,0,1,0,0,25.0,48564.5,0,1,3,Good,21.0
2012,2,6,7,-20,-3.0,1024.0,32.63,0,0,0,1,0,1,0,0,17.0,33413.12,0,1,3,Good,20.0
2012,9,28,9,-5,19.0,1020.0,52.09,0,0,3,1,0,1,0,0,24.0,53131.8,0,0,3,Good,3.0
2012,11,5,11,-3,10.0,1020.0,52.09,0,0,3,1,0,1,0,0,13.0,53131.8,0,1,3,Good,24.0
2010,6,16,7,19,24.0,1001.0,0.89,0,0,2,1,0,0,0,1,5.0,890.89,0,0,4,Moderate,67.0
2013,11,17,4,-8,-2.0,1022.0,2.24,0,0,3,0,0,0,0,1,6.0,2289.28,0,1,4,Good,21.0
2013,1,14,5,-11,-9.0,1024.0,11.63,0,0,0,0,0,1,0,0,2.0,11909.12,0,1,2,Hazardous,283.5
2013,2,13,17,-6,4.0,1019.0,16.99,0,0,0,2,0,0,1,0,10.0,17312.809999999998,0,1,2,Hazardous,283.5
2010,7,6,7,10,30.0,1002.0,7.15,0,0,2,1,0,1,0,0,20.0,7164.3,0,0,0,Good,22.0
2014,1,12,4,-23,-6.0,1035.0,33.97,0,0,0,0,0,1,0,0,17.0,35158.95,0,1,3,Moderate,72.0
2014,11,27,0,1,2.0,1021.0,3.12,0,0,3,0,0,0,0,1,1.0,3185.52,0,1,4,Hazardous,283.5
2012,5,3,14,1,33.0,1007.0,1.79,0,0,1,2,0,0,1,0,32.0,1802.53,0,0,1,Moderate,46.0
2013,9,23,17,6,17.0,1020.0,52.09,0,0,3,2,0,1,0,0,11.0,53131.8,0,0,3,Good,10.0
2013,11,30,6,-12,0.0,1021.0,21.9,0,0,3,0,0,1,0,0,12.0,22359.9,0,1,0,Moderate,40.0
2013,1,7,3,-16,-12.0,1025.0,8.05,0,0,0,0,0,1,0,0,4.0,8251.25,0,1,2,Very_Unhealthy,159.0
2011,5,5,11,11,17.0,1002.0,1.79,0,0,1,1,0,0,0,1,6.0,1793.58,0,0,4,Very_Unhealthy,201.0
2014,10,16,8,2,10.0,1025.0,5.79,0,0,3,1,0,0,0,1,8.0,5934.75,0,0,4,Moderate,44.0
2010,3,27,16,-10,10.0,1024.0,3.13,0,0,1,2,0,0,1,0,20.0,3205.12,0,1,2,Moderate,50.0
2014,5,17,18,5,27.0,1009.0,39.77,0,0,1,2,0,0,1,0,22.0,40127.93,0,0,1,Moderate,48.0
2013,6,17,13,16,29.0,1001.0,1.79,0,0,2,2,0,0,1,0,13.0,1791.79,0,0,1,Good,16.0
2011,7,23,16,27,33.0,1001.0,5.37,0,0,2,2,0,0,1,0,6.0,5375.37,0,0,1,Hazardous,269.0
2011,3,31,13,2,20.0,1015.0,4.92,0,0,1,2,0,0,1,0,18.0,4993.8,0,1,1,Moderate,72.0
2013,6,23,17,14,31.0,1000.0,9.39,0,0,2,2,0,0,1,0,17.0,9390.0,0,0,1,Moderate,59.0
2013,4,2,15,-4,18.0,1014.0,17.88,0,0,1,2,0,0,1,0,22.0,18130.32,0,0,1,Unhealthy,119.0
2012,6,11,19,3,30.0,994.0,8.94,0,0,2,3,0,1,0,0,27.0,8886.359999999999,0,0,0,Good,12.0
2013,4,4,23,5,6.0,1016.0,45.59,0,0,1,3,0,1,0,0,1.0,46319.44,0,0,3,Unhealthy,118.0
2010,7,25,11,25,32.0,1010.0,1.79,0,0,2,1,0,0,0,1,7.0,1807.9,0,0,4,Very_Unhealthy,201.0
2014,8,27,13,13,34.0,1013.0,3.13,0,0,2,2,0,0,0,1,21.0,3170.69,0,0,4,Moderate,43.0
2012,7,15,23,17,28.0,1006.0,20.57,0,0,2,3,0,0,1,0,11.0,20693.42,0,0,1,Moderate,58.0
2014,3,15,3,-12,3.0,1011.0,0.89,0,0,1,0,0,0,0,1,15.0,899.79,0,1,2,Unhealthy_Sensitive,78.0
2013,2,11,10,-17,-5.0,1035.0,1.79,0,0,0,1,1,0,0,0,12.0,1852.65,0,1,2,Moderate,36.0
2011,2,27,0,-3,-1.0,1026.0,0.89,0,0,0,0,1,0,0,0,2.0,913.14,0,1,5,Unhealthy,125.0
2010,5,17,17,13,19.0,1007.0,4.92,0,0,1,2,0,0,1,0,6.0,4954.44,0,0,1,Moderate,72.0
2012,7,2,3,16,25.0,1000.0,10.28,0,0,2,0,1,0,0,0,9.0,10280.0,0,0,5,Unhealthy_Sensitive,84.0
2012,12,7,1,-14,-7.0,1024.0,11.62,0,0,0,0,0,1,0,0,7.0,11898.88,0,1,2,Unhealthy,149.0
2013,11,15,1,-6,2.0,1019.0,0.89,0,0,3,0,0,0,1,0,8.0,906.91,0,1,0,Unhealthy_Sensitive,88.0
2010,3,20,16,-17,10.0,1013.0,52.09,0,0,1,2,0,1,0,0,27.0,52767.170000000006,0,1,3,Moderate,37.0
2011,3,12,10,-5,9.0,1010.0,0.89,0,0,1,1,0,0,0,1,14.0,898.9,0,1,4,Hazardous,254.0
2014,10,31,16,9,15.0,1019.0,8.95,0,0,3,2,0,0,1,0,6.0,9120.05,0,0,1,Very_Unhealthy,152.0
2010,5,16,21,14,15.0,1014.0,52.09,0,0,1,3,0,0,1,0,1.0,52819.26,0,0,1,Moderate,47.0
2014,6,3,12,12,30.0,1008.0,1.79,0,0,2,1,0,0,1,0,18.0,1804.32,0,0,1,Good,25.0
2013,3,18,16,-21,11.0,1006.0,4.92,0,0,1,2,0,0,1,0,32.0,4949.52,0,1,2,Good,14.0
2011,4,12,4,-6,8.0,1016.0,0.89,0,0,1,0,0,1,0,0,14.0,904.24,0,0,0,Unhealthy_Sensitive,85.0
2011,12,20,8,-15,-6.0,1031.0,23.25,0,0,0,1,0,1,0,0,9.0,23970.75,0,1,2,Good,31.0
2011,4,20,23,7,17.0,1008.0,3.58,0,0,1,3,1,0,0,0,10.0,3608.64,0,0,5,Very_Unhealthy,195.0
2014,2,7,9,-7,-5.0,1029.0,33.98,0,0,0,1,0,0,1,0,2.0,34965.42,0,1,2,Unhealthy_Sensitive,105.0
2012,4,7,8,-8,8.0,1020.0,6.26,0,0,1,1,0,1,0,0,16.0,6385.2,0,0,0,Moderate,53.0
2010,6,23,16,11,31.0,1007.0,23.23,0,0,2,2,0,0,1,0,20.0,23392.61,0,0,1,Moderate,40.0
2010,5,9,1,12,15.0,1004.0,1.79,0,0,1,0,0,0,1,0,3.0,1797.16,0,0,1,Unhealthy,129.0
2013,3,14,20,-4,5.0,1024.0,25.93,0,0,1,3,0,0,1,0,9.0,26552.32,0,1,2,Unhealthy,126.0
2014,10,15,9,5,13.0,1014.0,1.79,0,0,3,1,1,0,0,0,8.0,1815.06,0,0,5,Moderate,62.0
2011,3,29,16,-10,21.0,1021.0,7.15,0,0,1,2,0,0,1,0,31.0,7300.150000000001,0,1,2,Moderate,59.0
2013,4,15,17,3,17.0,1000.0,34.42,0,0,1,2,0,0,1,0,14.0,34420.0,0,0,1,Moderate,72.0
2012,3,30,10,-14,10.0,1024.0,52.09,0,0,1,1,0,1,0,0,24.0,53340.16,0,1,3,Good,13.0
2012,12,13,1,-4,-3.0,1028.0,0.89,0,0,0,0,0,0,1,0,1.0,914.92,0,1,2,Hazardous,274.0
2012,9,1,0,23,26.0,1011.0,0.89,0,0,3,0,0,0,0,1,3.0,899.79,0,0,4,Very_Unhealthy,196.0
2013,1,11,5,-7,-5.0,1024.0,4.47,0,0,0,0,0,1,0,0,2.0,4577.28,0,1,2,Hazardous,283.5
2011,11,13,5,-13,5.0,1025.0,35.76,0,0,3,0,0,1,0,0,18.0,36654.0,0,1,3,Good,7.0
2010,7,2,22,18,28.0,1000.0,0.89,0,0,2,3,0,0,0,1,10.0,890.0,0,0,4,Good,33.0
2014,2,4,15,-37,1.0,1028.0,52.09,0,0,0,2,0,1,0,0,38.0,53548.52,0,1,3,Good,8.0
2012,11,29,3,-10,-6.0,1024.0,0.89,0,0,3,0,0,0,0,1,4.0,911.36,0,1,4,Unhealthy,145.0
2013,2,21,23,-7,-5.0,1027.0,1.34,0,0,0,3,0,0,0,1,2.0,1376.18,0,1,2,Hazardous,283.5
2013,1,26,8,-12,-10.0,1028.0,9.39,0,0,0,1,0,1,0,0,2.0,9652.92,0,1,2,Unhealthy,126.0
2013,11,17,2,-9,1.0,1023.0,1.34,0,0,3,0,0,0,0,1,10.0,1370.8200000000002,0,1,4,Moderate,37.0
2010,2,5,8,-19,-6.0,1030.0,3.13,0,0,0,1,1,0,0,0,13.0,3223.9,0,1,2,Unhealthy,126.0
2011,3,3,11,-17,6.0,1028.0,52.09,0,0,1,1,0,1,0,0,23.0,53548.52,0,1,3,Good,15.0
2010,4,19,3,9,14.0,1011.0,1.79,0,0,1,0,0,1,0,0,5.0,1809.69,0,0,0,Hazardous,283.5
2011,10,30,13,9,13.0,1020.0,3.58,0,0,3,2,0,0,1,0,4.0,3651.6,0,0,1,Hazardous,283.5
2014,1,17,14,-13,5.0,1030.0,2.68,0,0,0,2,0,0,0,1,18.0,2760.4,0,1,2,Moderate,67.0
2013,6,26,0,21,22.0,999.0,11.18,0,0,2,0,0,0,1,0,1.0,11168.82,0,0,1,Very_Unhealthy,171.0
2010,9,17,20,13,14.0,1015.0,1.78,0,0,3,3,0,0,0,1,1.0,1806.7,0,0,4,Good,12.0
2013,6,22,15,19,22.0,1007.0,13.41,0,0,2,2,1,0,0,0,3.0,13503.87,0,0,5,Moderate,56.0
2012,6,17,13,12,36.0,1001.0,5.81,0,0,2,2,0,0,1,0,24.0,5815.81,0,0,1,Unhealthy_Sensitive,104.0
2014,3,19,9,-7,8.0,1022.0,1.78,0,0,1,1,0,0,0,1,15.0,1819.16,0,1,2,Unhealthy_Sensitive,94.0
2012,11,29,11,-14,3.0,1025.0,3.58,0,0,3,1,0,1,0,0,17.0,3669.5,0,1,0,Moderate,40.0
2012,4,10,3,7,17.0,1009.0,7.15,0,0,1,0,0,0,1,0,10.0,7214.35,0,0,1,Unhealthy_Sensitive,101.0
2014,3,2,11,-9,5.0,1024.0,1.79,0,0,1,1,0,0,0,1,14.0,1832.96,0,1,2,Very_Unhealthy,157.0
2013,9,17,1,15,20.0,1012.0,0.45,0,0,3,0,0,0,0,1,5.0,455.4,0,0,4,Unhealthy,130.0
2014,12,29,5,-12,-7.0,1014.0,8.46,0,0,0,0,0,0,0,1,5.0,8578.44,0,1,2,Very_Unhealthy,188.0
2014,7,4,15,23,33.0,1004.0,4.02,0,0,2,2,0,0,1,0,10.0,4036.08,0,0,1,Unhealthy,139.0
2010,5,16,13,12,22.0,1014.0,52.09,0,0,1,2,0,0,1,0,10.0,52819.26,0,0,1,Unhealthy,136.0
2012,7,3,17,15,34.0,995.0,4.92,0,0,2,2,0,0,1,0,19.0,4895.4,0,0,1,Good,20.0
2011,12,21,15,-23,3.0,1029.0,52.09,0,0,0,2,0,1,0,0,26.0,53600.61,0,1,3,Good,14.0
2013,10,31,12,-2,14.0,1027.0,23.25,0,0,3,1,0,1,0,0,16.0,23877.75,0,0,0,Unhealthy,127.0
2013,4,27,7,3,13.0,1011.0,1.78,0,0,1,1,0,0,0,1,10.0,1799.58,0,0,4,Moderate,55.0
2014,3,13,13,-25,12.0,1020.0,4.92,0,0,1,2,0,0,0,1,37.0,5018.4,0,1,2,Good,16.0
2010,7,23,10,25,30.0,1009.0,4.9,0,0,2,1,0,0,0,1,5.0,4944.1,0,0,4,Very_Unhealthy,226.0
2012,1,1,4,-13,-4.0,1033.0,4.92,0,0,0,0,1,0,0,0,9.0,5082.36,0,1,2,Unhealthy_Sensitive,85.0
2013,7,7,22,25,29.0,999.0,34.85,0,0,2,3,0,0,1,0,4.0,34815.15,0,0,1,Very_Unhealthy,164.0
2014,5,12,17,9,29.0,999.0,37.11,0,0,1,2,0,0,1,0,20.0,37072.89,0,0,1,Good,29.0
2012,11,17,21,-2,2.0,1021.0,2.23,0,0,3,3,0,0,0,1,4.0,2276.83,0,1,4,Unhealthy_Sensitive,114.0
2011,10,26,15,3,11.0,1023.0,1.79,0,0,3,2,0,0,1,0,8.0,1831.17,0,0,1,Unhealthy_Sensitive,110.0
2011,2,19,9,-10,0.0,1026.0,23.69,0,0,0,1,0,1,0,0,10.0,24305.94,0,1,2,Unhealthy,144.0
2013,12,10,0,-14,-3.0,1022.0,2.68,0,0,0,0,0,1,0,0,11.0,2738.96,0,1,2,Moderate,63.0
2012,11,6,14,-3,12.0,1020.0,1.79,0,0,3,2,0,0,1,0,15.0,1825.8,0,1,1,Unhealthy_Sensitive,89.0
2014,6,17,6,18,19.0,1004.0,1.79,0,0,2,0,1,0,0,0,1.0,1797.16,0,0,5,Good,28.0
2010,9,1,5,18,20.0,1012.0,1.79,0,0,3,0,0,1,0,0,2.0,1811.48,0,0,0,Unhealthy_Sensitive,79.0
2012,1,17,17,-8,-4.0,1022.0,1.78,0,0,0,2,0,0,1,0,4.0,1819.16,0,1,2,Hazardous,283.5
2014,3,12,18,-24,9.0,1023.0,1.79,0,0,1,2,0,0,1,0,33.0,1831.17,0,1,2,Good,15.0
2014,11,17,20,-6,3.0,1030.0,2.67,0,0,3,3,0,0,0,1,9.0,2750.1,0,1,4,Moderate,54.0
2014,11,25,5,-4,0.0,1023.0,2.67,0,0,3,0,0,0,0,1,4.0,2731.41,0,1,4,Unhealthy,121.0
2010,1,1,5,-19,-10.0,1017.0,16.1,0,0,0,0,0,1,0,0,9.0,16373.7,0,1,2,Moderate,72.0
2014,12,4,7,-21,-3.0,1027.0,4.02,0,0,0,1,0,1,0,0,18.0,4128.54,0,1,2,Good,9.0
2012,12,28,23,-6,-5.0,1027.0,1.79,0,0,0,3,1,0,0,0,1.0,1838.33,0,1,5,Hazardous,283.5
2010,5,4,10,9,21.0,1005.0,3.58,0,0,1,1,0,0,1,0,12.0,3597.9,0,0,1,Unhealthy,132.0
2010,11,28,22,-8,-3.0,1021.0,0.89,0,0,3,3,0,0,0,1,5.0,908.69,0,1,4,Hazardous,283.5
2014,12,16,14,-20,0.0,1030.0,52.09,0,0,0,2,0,1,0,0,20.0,53652.7,0,1,3,Good,23.0
2010,4,4,7,0,7.0,1011.0,4.92,0,0,1,1,0,1,0,0,7.0,4974.12,0,0,0,Very_Unhealthy,170.0
2012,12,6,14,-18,-2.0,1019.0,0.89,0,0,0,2,0,0,0,1,16.0,906.91,0,1,2,Moderate,37.0
2012,6,5,15,7,34.0,1003.0,3.13,0,0,2,2,0,0,1,0,27.0,3139.39,0,0,1,Good,8.0
2014,3,15,10,-11,11.0,1012.0,2.23,0,0,1,1,0,0,0,1,22.0,2256.76,0,1,2,Unhealthy_Sensitive,88.0
2014,8,7,15,15,33.0,1008.0,6.26,0,0,2,2,0,0,1,0,18.0,6310.08,0,0,1,Moderate,43.0
2014,7,20,2,24,29.0,1007.0,1.79,0,0,2,0,0,0,1,0,5.0,1802.53,0,0,1,Moderate,60.0
2011,4,7,6,6,9.0,1016.0,3.13,0,0,1,0,0,1,0,0,3.0,3180.08,0,0,0,Moderate,72.0
2011,11,8,8,3,12.0,1028.0,19.67,0,0,3,1,0,1,0,0,9.0,20220.76,0,1,0,Moderate,47.0
2010,10,29,5,1,3.0,1028.0,3.58,0,0,3,0,0,1,0,0,2.0,3680.24,0,0,0,Unhealthy_Sensitive,88.0
2010,9,28,17,-3,18.0,1023.0,6.26,0,0,3,2,0,0,1,0,21.0,6403.98,0,0,1,Moderate,72.0
2011,11,10,11,-5,13.0,1020.0,28.17,0,0,3,1,0,1,0,0,18.0,28733.4,0,1,0,Moderate,50.0
2013,11,24,11,-10,9.0,1016.0,21.9,0,0,3,1,0,1,0,0,19.0,22250.4,0,1,0,Moderate,46.0
2013,6,1,3,15,19.0,1004.0,0.89,0,0,2,0,1,0,0,0,4.0,893.5600000000001,0,0,5,Unhealthy,130.0
2012,6,17,4,16,20.0,1003.0,1.79,0,0,2,0,0,0,1,0,4.0,1795.37,0,0,1,Moderate,43.0
2010,1,1,0,-21,-11.0,1021.0,1.79,0,0,0,0,0,1,0,0,10.0,1827.59,0,1,2,Moderate,72.0
2014,2,13,22,-10,-2.0,1031.0,5.37,0,0,0,3,1,0,0,0,8.0,5536.47,0,1,2,Very_Unhealthy,243.0
2013,11,9,4,-1,6.0,1022.0,0.89,0,0,3,0,0,0,0,1,7.0,909.58,0,1,4,Very_Unhealthy,164.0
2011,2,15,22,-8,-6.0,1025.0,6.25,0,0,0,3,1,0,0,0,2.0,6406.25,0,1,2,Hazardous,283.5
2011,2,11,17,-17,-2.0,1031.0,52.09,0,0,0,2,0,1,0,0,15.0,53704.79,0,1,3,Good,12.0
2012,8,23,10,15,24.0,1016.0,0.89,0,0,2,1,0,0,0,1,9.0,904.24,0,0,4,Unhealthy_Sensitive,100.0
2010,6,17,20,17,20.0,1002.0,0.89,0,0,2,3,0,0,0,1,3.0,891.78,0,0,4,Moderate,37.0
2012,11,17,19,-2,3.0,1020.0,0.89,0,0,3,3,0,0,0,1,5.0,907.8,0,1,4,Moderate,57.0
2014,4,22,3,4,9.0,1016.0,2.68,0,0,1,0,0,1,0,0,5.0,2722.88,0,0,0,Unhealthy_Sensitive,102.0
2014,8,25,23,13,22.0,1012.0,1.79,0,0,2,3,1,0,0,0,9.0,1811.48,0,0,5,Good,26.0
2010,4,21,5,-2,12.0,1022.0,4.91,0,0,1,0,0,1,0,0,14.0,5018.02,0,0,0,Good,26.0
2011,4,28,9,3,15.0,1009.0,3.13,0,0,1,1,1,0,0,0,12.0,3158.17,0,0,5,Unhealthy_Sensitive,90.0
2014,11,10,7,-6,-1.0,1023.0,10.74,0,0,3,1,0,1,0,0,5.0,10987.02,0,1,0,Moderate,45.0
2013,8,4,9,22,28.0,1002.0,1.79,0,0,2,1,1,0,0,0,6.0,1793.58,0,0,5,Unhealthy_Sensitive,107.0
2014,8,7,5,18,20.0,1010.0,4.02,0,0,2,0,0,1,0,0,2.0,4060.2,0,0,0,Unhealthy_Sensitive,93.0
2011,5,11,16,-4,28.0,1004.0,39.78,0,0,1,2,0,1,0,0,32.0,39939.12,0,0,3,Very_Unhealthy,183.0
2013,8,27,14,19,26.0,1007.0,3.58,0,0,2,2,1,0,0,0,7.0,3605.06,0,0,5,Moderate,65.0
2012,7,30,5,20,22.0,1002.0,16.1,0,0,2,0,0,1,0,0,2.0,16132.2,0,0,0,Moderate,72.0
2010,6,7,1,17,22.0,1012.0,46.48,0,0,2,0,0,0,1,0,5.0,47037.76,0,0,1,Moderate,72.0
2011,8,1,10,26,28.0,1005.0,1.79,0,0,2,1,0,0,1,0,2.0,1798.95,0,0,1,Moderate,72.0
2014,8,9,22,18,22.0,1006.0,7.15,0,0,2,3,0,1,0,0,4.0,7192.900000000001,0,0,0,Good,15.0
2013,10,29,21,-4,8.0,1029.0,3.58,0,0,3,3,0,0,1,0,12.0,3683.82,0,0,1,Moderate,46.0
2012,2,1,6,-27,-13.0,1034.0,20.57,0,0,0,0,1,0,0,0,14.0,21269.38,0,1,2,Good,11.0
2011,10,26,13,4,10.0,1024.0,1.79,0,0,3,2,0,0,1,0,6.0,1832.96,0,0,1,Unhealthy_Sensitive,110.0
2010,2,17,11,-23,-1.0,1028.0,52.09,0,0,0,1,0,1,0,0,22.0,53548.52,0,1,3,Good,18.0
2011,8,28,13,18,28.0,1009.0,3.13,0,0,2,2,0,1,0,0,10.0,3158.17,0,0,0,Unhealthy_Sensitive,83.0
2013,5,30,5,8,14.0,1009.0,4.02,0,0,1,0,0,0,0,1,6.0,4056.18,0,0,4,Unhealthy_Sensitive,91.0
2010,6,9,16,10,32.0,1012.0,3.13,0,0,2,2,0,0,1,0,22.0,3167.56,0,0,1,Moderate,72.0
2011,7,5,3,18,27.0,1001.0,43.35,0,0,2,0,0,0,1,0,9.0,43393.35,0,0,1,Unhealthy_Sensitive,89.0
2012,3,16,10,4,6.0,1014.0,1.79,0,0,1,1,0,1,0,0,2.0,1815.06,0,1,0,Hazardous,283.5
2011,6,6,22,18,22.0,999.0,1.79,0,0,2,3,1,0,0,0,4.0,1788.21,0,0,5,Very_Unhealthy,163.0
2010,9,6,20,22,25.0,1010.0,8.93,0,0,3,3,0,0,1,0,3.0,9019.3,0,0,1,Very_Unhealthy,224.0
2012,2,7,9,-25,-8.0,1034.0,7.15,0,0,0,1,0,1,0,0,17.0,7393.1,0,1,2,Good,13.0
2011,3,24,15,-18,12.0,1024.0,52.09,0,0,1,2,0,1,0,0,30.0,53340.16,0,1,3,Good,12.0
2010,11,10,3,-4,-1.0,1019.0,6.25,0,0,3,0,0,1,0,0,3.0,6368.75,0,1,0,Unhealthy,129.0
2013,11,10,3,-30,1.0,1034.0,52.09,0,0,3,0,0,1,0,0,31.0,53861.060000000005,0,1,3,Good,4.0
2010,10,21,4,8,9.0,1024.0,1.78,0,0,3,0,0,1,0,0,1.0,1822.72,0,0,0,Unhealthy_Sensitive,101.0
2013,1,26,2,-15,-12.0,1026.0,1.79,0,0,0,0,0,1,0,0,3.0,1836.54,0,1,2,Very_Unhealthy,161.0
2014,5,25,22,7,17.0,1006.0,0.89,0,0,1,3,0,0,0,1,10.0,895.34,0,0,4,Good,21.0
2013,8,19,15,11,33.0,1009.0,1.79,0,0,2,2,0,0,1,0,22.0,1806.11,0,0,1,Good,8.0
2014,9,11,0,15,21.0,1014.0,3.58,0,0,3,0,0,0,1,0,6.0,3630.12,0,0,1,Unhealthy_Sensitive,82.0
2011,2,20,4,-7,-5.0,1026.0,2.68,0,0,0,0,0,1,0,0,2.0,2749.6800000000003,0,1,2,Hazardous,283.5
2013,12,26,14,-25,2.0,1033.0,52.09,0,0,0,2,0,1,0,0,27.0,53808.97,0,1,3,Good,14.0
2011,9,26,9,15,19.0,1020.0,1.78,0,0,3,1,0,0,0,1,4.0,1815.6,0,0,4,Hazardous,283.5
2011,11,26,10,-3,3.0,1023.0,24.59,0,0,3,1,0,1,0,0,6.0,25155.57,0,1,0,Very_Unhealthy,203.0
2012,7,20,12,24,31.0,1005.0,4.92,0,0,2,1,0,0,1,0,7.0,4944.6,0,0,1,Very_Unhealthy,226.0
2014,12,14,15,-19,6.0,1024.0,1.79,0,0,0,2,0,0,1,0,25.0,1832.96,0,1,2,Moderate,44.0
2012,12,15,13,0,2.0,1023.0,3.12,0,0,0,2,0,0,0,1,2.0,3191.76,0,1,2,Hazardous,283.5
2012,7,14,1,22,23.0,1004.0,3.57,0,0,2,0,1,0,0,0,1.0,3584.28,0,0,5,Moderate,47.0
2012,6,14,22,15,19.0,1007.0,3.13,0,0,2,3,0,1,0,0,4.0,3151.91,0,0,0,Good,7.0
2010,12,4,7,-10,-5.0,1013.0,22.81,0,0,0,1,0,1,0,0,5.0,23106.53,0,1,2,Very_Unhealthy,154.0
